"number","author","designation","first_response_at","days_to_first_response","first_responder"
48596,"AestheticAkhmad","stale-risk","2025-12-21 10:39:21",2.58508101851852,"lidavidm"
48048,"Aiee","abandoned","2025-11-05 08:05:37",0.8596875,"raulcd"
46530,"Alex-PLACET","abandoned","2025-05-28 02:03:20",6.62841435185185,"kou"
49080,"AliRana30","stale-risk","2026-01-30 10:24:18",0.000717592592592593,"HyukjinKwon"
49095,"Alvaro-Kothe","stale-risk","2026-01-31 21:06:36",0.747777777777778,"WillAyd"
49298,"Anakin100100","recent",NA,NA,NA
46789,"AntoinePrv","abandoned","2025-06-12 09:54:40",0.0186921296296296,"raulcd"
46921,"Antropovi","abandoned","2025-06-26 14:59:48",0.0355439814814815,"lidavidm"
48656,"Aokizy2","stale-risk","2026-01-02 05:04:20",7.09783564814815,"rustyconover"
49180,"Arbaaz123676","no-review",NA,NA,NA
47522,"Arkur745","abandoned","2025-09-08 02:23:57",0.267106481481481,"kou"
48232,"ArnavBalyan","abandoned","2025-11-25 02:10:02",1.50140046296296,"wgtmac"
49516,"BillionClaw","recent",NA,NA,NA
47328,"BwL1289","stale-risk","2025-08-14 04:15:06",0.372071759259259,"kou"
49483,"CT811","recent",NA,NA,NA
46257,"CenluChen","active","2026-03-29 17:02:26",334.519155092593,"thisisnic"
48086,"CytoShahar","abandoned","2025-11-14 13:52:04",5.41878472222222,"thisisnic"
48731,"DavisVaughan","stale-risk","2026-01-07 16:26:58",1.55895833333333,"jonkeane"
49550,"Desel72","recent",NA,NA,NA
46493,"Djjanks","stale-risk","2025-05-18 17:11:46",0.021712962962963,"domoritz"
49443,"Ebraam-Ashraf","recent",NA,NA,NA
48324,"EslamAhmed171","abandoned","2025-12-23 08:06:56",19.1122685185185,"AlenkaF"
48192,"Ext3h","stale-risk","2025-11-20 15:26:38",0.0153009259259259,"felipecrv"
49106,"FrenchCommando","no-review",NA,NA,NA
49432,"GavkareShubham","recent",NA,NA,NA
44354,"GeniusTimo","abandoned","2024-10-10 06:10:26",0.520185185185185,"kou"
44670,"GeorgKreuzmayr","abandoned","2024-11-07 08:37:25",0.00914351851851852,"mapleFU"
49162,"Gnananjali","no-review",NA,NA,NA
44783,"HackPoint","abandoned","2024-11-18 17:52:28",0.00780092592592593,"CurtHagenlocher"
47427,"HuaHuaY","stale-risk","2025-08-26 16:23:11",0.169814814814815,"wgtmac"
