date,n
2021-06-06,90
2021-06-13,64
2021-06-20,55
2021-06-27,65
2021-07-04,49
2021-07-11,81
2021-07-18,76
2021-07-25,82
2021-08-01,68
2021-08-08,49
2021-08-15,64
2021-08-22,104
2021-08-29,125
2021-09-05,73
2021-09-12,61
2021-09-19,105
2021-09-26,86
2021-10-03,67
2021-10-10,91
2021-10-17,102
2021-10-24,74
2021-10-31,101
2021-11-07,94
2021-11-14,80
2021-11-21,118
2021-11-28,93
2021-12-05,92
2021-12-12,82
2021-12-19,52
2021-12-26,34
2022-01-02,56
2022-01-09,58
2022-01-16,80
2022-01-23,92
2022-01-30,87
2022-02-06,84
2022-02-13,80
2022-02-20,63
2022-02-27,67
2022-03-06,74
2022-03-13,61
2022-03-20,60
2022-03-27,67
2022-04-03,61
2022-04-10,53
2022-04-17,97
2022-04-24,133
2022-05-01,69
2022-05-08,86
2022-05-15,56
2022-05-22,56
2022-05-29,71
2022-06-05,78
2022-06-12,40
2022-06-19,62
2022-06-26,65
2022-07-03,65
2022-07-10,66
2022-07-17,95
2022-07-24,86
2022-07-31,67
2022-08-07,82
2022-08-14,85
2022-08-21,67
2022-08-28,73
2022-09-04,76
2022-09-11,98
2022-09-18,78
2022-09-25,81
2022-10-02,61
2022-10-09,104
2022-10-16,77
2022-10-23,69
2022-10-30,66
2022-11-06,65
2022-11-13,60
2022-11-20,68
2022-11-27,56
2022-12-04,54
2022-12-11,67
2022-12-18,46
2022-12-25,29
2023-01-01,63
2023-01-08,73
2023-01-15,88
2023-01-22,50
2023-01-29,72
2023-02-05,66
2023-02-12,62
2023-02-19,57
2023-02-26,65
2023-03-05,44
2023-03-12,63
2023-03-19,52
2023-03-26,68
2023-04-02,85
2023-04-09,95
2023-04-16,73
2023-04-23,50
2023-04-30,59
2023-05-07,61
2023-05-14,68
2023-05-21,66
2023-05-28,53
2023-06-04,70
2023-06-11,77
2023-06-18,73
2023-06-25,80
2023-07-02,65
2023-07-09,68
2023-07-16,71
2023-07-23,64
2023-07-30,51
2023-08-06,55
2023-08-13,76
2023-08-20,80
2023-08-27,58
2023-09-03,58
2023-09-10,75
2023-09-17,51
2023-09-24,80
2023-10-01,77
2023-10-08,74
2023-10-15,68
2023-10-22,67
2023-10-29,43
2023-11-05,53
2023-11-12,66
2023-11-19,69
2023-11-26,94
2023-12-03,51
2023-12-10,46
2023-12-17,54
2023-12-24,15
2023-12-31,40
2024-01-07,54
2024-01-14,76
2024-01-21,51
2024-01-28,61
2024-02-04,58
2024-02-11,52
2024-02-18,50
2024-02-25,58
2024-03-03,64
2024-03-10,104
2024-03-17,94
2024-03-24,90
2024-03-31,70
2024-04-07,73
2024-04-14,67
2024-04-21,59
2024-04-28,56
2024-05-05,44
2024-05-12,56
2024-05-19,53
2024-05-26,38
2024-06-02,61
2024-06-09,57
2024-06-16,38
2024-06-23,36
2024-06-30,37
2024-07-07,36
2024-07-14,49
2024-07-21,54
2024-07-28,49
2024-08-04,41
2024-08-11,50
2024-08-18,34
2024-08-25,45
2024-09-01,41
2024-09-08,59
2024-09-15,27
2024-09-22,27
2024-09-29,25
2024-10-06,40
2024-10-13,47
2024-10-20,32
2024-10-27,42
2024-11-03,32
2024-11-10,33
2024-11-17,38
2024-11-24,35
2024-12-01,43
2024-12-08,36
2024-12-15,35
2024-12-22,17
2024-12-29,31
2025-01-05,30
2025-01-12,39
2025-01-19,28
2025-01-26,29
2025-02-02,25
2025-02-09,38
2025-02-16,35
2025-02-23,28
2025-03-02,41
2025-03-09,58
2025-03-16,50
2025-03-23,46
2025-03-30,31
2025-04-06,42
2025-04-13,29
2025-04-20,38
2025-04-27,38
2025-05-04,47
2025-05-11,53
2025-05-18,53
2025-05-25,42
2025-06-01,42
2025-06-08,43
2025-06-15,29
2025-06-22,27
2025-06-29,40
2025-07-06,46
2025-07-07,46
2025-07-14,27
2025-07-21,29
2025-07-28,24
2025-08-04,23
2025-08-09,0
2025-08-10,2
2025-08-11,3
2025-08-12,4
2025-08-13,6
2025-08-14,4
2025-08-15,3
2025-08-16,4
2025-08-17,2
2025-08-18,3
2025-08-19,6
2025-08-20,4
2025-08-21,13
2025-08-22,7
2025-08-23,1
2025-08-24,0
2025-08-25,1
2025-08-26,7
2025-08-27,10
2025-08-28,3
2025-08-29,1
2025-08-30,0
2025-08-31,1
2025-09-01,1
2025-09-02,6
2025-09-03,8
2025-09-04,4
2025-09-05,7
2025-09-06,1
2025-09-07,0
2025-09-08,3
2025-09-09,3
2025-09-10,0
2025-09-11,3
