created_at,url_title,html_url,author_association,comments
2026-03-11T10:59:16Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49493"">[Python][C++] Add OpenTelemetry to possible CMakePresets.json</a>",https://github.com/apache/arrow/issues/49493,MEMBER,0
2026-03-09T10:33:17Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49474"">[Python] Memory Leak while iterating batches of pyarrow dataset</a>",https://github.com/apache/arrow/issues/49474,NONE,0
2026-03-09T09:13:49Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49473"">[Python] test_cython fails on editable install</a>",https://github.com/apache/arrow/issues/49473,MEMBER,2
2026-03-04T19:56:39Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49452"">[Python] Reintroduce docstring injection for stubfiles</a>",https://github.com/apache/arrow/issues/49452,MEMBER,0
2026-03-04T11:16:02Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49447"">[C++][Python] Investigate OpenTelemetry works as expected on Windows</a>",https://github.com/apache/arrow/issues/49447,MEMBER,0
2026-03-03T11:57:03Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49437"">[Python][C++][GPU] Python Cuda jobs fail with 'cuda.bindings.driver.CUcontext' object has no attribute 'value'</a>",https://github.com/apache/arrow/issues/49437,MEMBER,1
2026-02-28T09:02:28Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49413"">[Python] MacOs stuck on importing (23.0.1) while works on (15.0.1)</a>",https://github.com/apache/arrow/issues/49413,NONE,0
2026-02-27T13:22:21Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49410"">[C++][Python] if_else kernel creates invalid results with chunked array string inputs with non-aligned chunks</a>",https://github.com/apache/arrow/issues/49410,MEMBER,4
2026-02-26T11:04:54Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49398"">[Python] Investigate whether we can rely on `pyproject.toml` for build dependencies</a>",https://github.com/apache/arrow/issues/49398,MEMBER,0
2026-02-26T10:31:03Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49397"">[Python] Validate PYARROW_GENERATE_COVERAGE works as expected</a>",https://github.com/apache/arrow/issues/49397,MEMBER,1
