created_at,url_title,html_url,author_association,comments
2026-03-04T20:17:43Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49453"">GH-49452: [Python] Reintroduce docstring injection for stubfiles</a>",https://github.com/apache/arrow/pull/49453,MEMBER,1
2026-02-23T20:41:15Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49377"">GH-49376: [Python][Parquet] Add ability to write Bloom filters from pyarrow</a>",https://github.com/apache/arrow/pull/49377,MEMBER,1
2026-02-22T19:10:23Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49372"">GH-41365: [Python] Fix S3 URI with whitespace silently falling back to LocalFileSystem</a>",https://github.com/apache/arrow/pull/49372,FIRST_TIME_CONTRIBUTOR,4
2026-02-22T05:28:24Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49359"">GH-49358: [Python][Doc] Add import statement to filters_to_expression docstring example</a>",https://github.com/apache/arrow/pull/49359,CONTRIBUTOR,1
2026-02-21T20:42:34Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49357"">GH-49273: [Python] Move stub docstring script to _build_utils with gr…</a>",https://github.com/apache/arrow/pull/49357,FIRST_TIME_CONTRIBUTOR,2
2026-02-20T22:56:04Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49353"">GH-49351: [C++] Check TZDIR environment variable in vendored date library</a>",https://github.com/apache/arrow/pull/49353,FIRST_TIME_CONTRIBUTOR,9
2026-02-17T01:50:56Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49303"">GH-49302: [Python][Doc] Incorrect parameter descriptions in SparseCSCMatrix.from_numpy</a>",https://github.com/apache/arrow/pull/49303,CONTRIBUTOR,1
2026-02-14T13:39:18Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49286"">GH-49285: [Python] Add `buffer` parameter to `RecordBatch.serialize()`</a>",https://github.com/apache/arrow/pull/49286,FIRST_TIME_CONTRIBUTOR,1
2026-02-13T16:28:20Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49279"">GH-49278: [Python][Doc] Add from_numpy examples for sparse tensor constructors</a>",https://github.com/apache/arrow/pull/49279,CONTRIBUTOR,2
2026-02-13T06:51:07Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49271"">GH-49255: Fix pandas deprecation warnings in Categorical tests</a>",https://github.com/apache/arrow/pull/49271,CONTRIBUTOR,0
2026-02-12T16:50:43Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49262"">GH-49258: [C++][Python] Add public APIs for reading and serializing IPC dictionary messages</a>",https://github.com/apache/arrow/pull/49262,FIRST_TIME_CONTRIBUTOR,9
2026-02-12T14:43:07Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49259"">GH-36411: [Python] Use scikit-build-core as build backend for PyArrow and get rid of setup.py</a>",https://github.com/apache/arrow/pull/49259,MEMBER,55
